university_name,city,department,degree,program,duration,eligibility_criteria,test_required,fee_structure,admission_deadline,program_url
University of the West of England (UWE Bristol),Bristol,College of Business and Law,BA (Hons),Business Management (with Foundation Year),4 Years,48 UCAS points: A-levels EEE or BTEC PPP,IELTS 6.0 (min 5.5 each component),"UK: £9,250/year | International: £16,250/year",29-Jan-2026,https://courses.uwe.ac.uk/N20F
University of the West of England (UWE Bristol),Bristol,College of Business and Law,BA (Hons),Business Management (with Placement Year),4 Years,112 UCAS points: A-levels BBC or BTEC National Extended Diploma DMM,IELTS 6.0 (min 5.5 each component),"UK: £9,250/year | International: £16,250/year",29-Jan-2026,https://courses.uwe.ac.uk/N200
University of the West of England (UWE Bristol),Bristol,College of Business and Law,BA (Hons),Accounting and Finance,3 Years,112 UCAS points: A-levels BBC or BTEC National Extended Diploma DMM,IELTS 6.0 (min 5.5 each component),"UK: £9,250/year | International: £16,250/year",29-Jan-2026,https://courses.uwe.ac.uk/N400
University of the West of England (UWE Bristol),Bristol,College of Business and Law,BA (Hons),Marketing,3 Years,112 UCAS points: A-levels BBC or BTEC National Extended Diploma DMM,IELTS 6.0 (min 5.5 each component),"UK: £9,250/year | International: £16,250/year",29-Jan-2026,https://courses.uwe.ac.uk/N500
University of the West of England (UWE Bristol),Bristol,College of Business and Law,BA (Hons),International Business,3 Years,112 UCAS points: A-levels BBC or BTEC National Extended Diploma DMM,IELTS 6.0 (min 5.5 each component),"UK: £9,250/year | International: £16,250/year",29-Jan-2026,https://courses.uwe.ac.uk/N120
University of the West of England (UWE Bristol),Bristol,College of Business and Law,MSc,Business Management,1 Years,An honours degree of 2:2 or above in a relevant subject,IELTS 6.5 (min 5.5 each component),"UK: £11,500/year | International: £17,500/year",03-Aug-2026,https://courses.uwe.ac.uk/N20112
University of the West of England (UWE Bristol),Bristol,College of Business and Law,MSc,Accounting and Finance,1 Years,An honours degree of 2:2 or above in a relevant subject,IELTS 6.5 (min 5.5 each component),"UK: £11,500/year | International: £17,500/year",03-Aug-2026,https://courses.uwe.ac.uk/N40112
University of the West of England (UWE Bristol),Bristol,College of Business and Law,MSc,Digital Marketing,1 Years,An honours degree of 2:2 or above in a relevant subject,IELTS 6.5 (min 5.5 each component),"UK: £11,500/year | International: £17,500/year",03-Aug-2026,https://courses.uwe.ac.uk/N50112
University of the West of England (UWE Bristol),Bristol,College of Business and Law,MBA,Master of Business Administration,1 Years,An honours degree of 2:2 or above in a relevant subject; minimum 3 years management experience,IELTS 6.5 (min 5.5 each component),"UK: £15,000/year | International: £18,000/year",03-Aug-2026,https://courses.uwe.ac.uk/N20212
University of the West of England (UWE Bristol),Bristol,College of Business and Law,LLB (Hons),Law,3 Years,112 UCAS points: A-levels BBC or BTEC National Extended Diploma DMM,IELTS 6.0 (min 5.5 each component),"UK: £9,250/year | International: £16,250/year",29-Jan-2026,https://courses.uwe.ac.uk/M100
University of the West of England (UWE Bristol),Bristol,College of Business and Law,LLB (Hons),Law (with Foundation Year),4 Years,48 UCAS points: A-levels EEE or BTEC PPP,IELTS 6.0 (min 5.5 each component),"UK: £9,250/year | International: £16,250/year",29-Jan-2026,https://courses.uwe.ac.uk/M10F
University of the West of England (UWE Bristol),Bristol,College of Business and Law,LLB (Hons),Commercial Law,3 Years,112 UCAS points: A-levels BBC or BTEC National Extended Diploma DMM,IELTS 6.0 (min 5.5 each component),"UK: £9,250/year | International: £16,250/year",29-Jan-2026,https://courses.uwe.ac.uk/M221
University of the West of England (UWE Bristol),Bristol,College of Business and Law,LLM,Commercial Law,1 Years,An honours degree of 2:2 or above in a relevant subject,IELTS 6.5 (min 5.5 each component),"UK: £11,500/year | International: £17,500/year",03-Aug-2026,https://courses.uwe.ac.uk/M22112
University of the West of England (UWE Bristol),Bristol,"College of Health, Science and Society",BSc (Hons),Nursing (Adult),3 Years,112 UCAS points; GCSE English/Maths C/4; DBS check,IELTS 7.0 (min 6.5 each component),"UK: £9,250/year | International: £16,250/year",29-Jan-2026,https://courses.uwe.ac.uk/B700
University of the West of England (UWE Bristol),Bristol,"College of Health, Science and Society",BSc (Hons),Nursing (Children's),3 Years,112 UCAS points; GCSE English/Maths C/4; DBS check,IELTS 7.0 (min 6.5 each component),"UK: £9,250/year | International: £16,250/year",29-Jan-2026,https://courses.uwe.ac.uk/B730
University of the West of England (UWE Bristol),Bristol,"College of Health, Science and Society",BSc (Hons),Nursing (Mental Health),3 Years,112 UCAS points; GCSE English/Maths C/4; DBS check,IELTS 7.0 (min 6.5 each component),"UK: £9,250/year | International: £16,250/year",29-Jan-2026,https://courses.uwe.ac.uk/B760
University of the West of England (UWE Bristol),Bristol,"College of Health, Science and Society",BSc (Hons),Midwifery,3 Years,128 UCAS points; GCSE English/Maths C/4; DBS check,IELTS 7.0 (min 6.5 each component),"UK: £9,250/year | International: £16,250/year",29-Jan-2026,https://courses.uwe.ac.uk/B720
University of the West of England (UWE Bristol),Bristol,"College of Health, Science and Society",BSc (Hons),Paramedic Science,3 Years,128 UCAS points; GCSE English/Maths C/4; DBS check,IELTS 7.0 (min 6.5 each component),"UK: £9,250/year | International: £16,250/year",29-Jan-2026,https://courses.uwe.ac.uk/B950
University of the West of England (UWE Bristol),Bristol,"College of Health, Science and Society",BSc (Hons),Physiotherapy,3 Years,136 UCAS points; GCSE English/Maths C/4; DBS check,IELTS 7.0 (min 6.5 each component),"UK: £9,250/year | International: £16,250/year",29-Jan-2026,https://courses.uwe.ac.uk/B160
University of the West of England (UWE Bristol),Bristol,"College of Health, Science and Society",BSc (Hons),Diagnostic Radiography,3 Years,120 UCAS points; GCSE English/Maths C/4; DBS check,IELTS 7.0 (min 6.5 each component),"UK: £9,250/year | International: £16,250/year",29-Jan-2026,https://courses.uwe.ac.uk/B821
University of the West of England (UWE Bristol),Bristol,"College of Health, Science and Society",BSc (Hons),Biomedical Science,3 Years,112 UCAS points: A-levels BBC or BTEC National Extended Diploma DMM,IELTS 6.0 (min 5.5 each component),"UK: £9,250/year | International: £16,250/year",29-Jan-2026,https://courses.uwe.ac.uk/C900
University of the West of England (UWE Bristol),Bristol,"College of Health, Science and Society",BSc (Hons),Forensic Science,3 Years,112 UCAS points: A-levels BBC or BTEC National Extended Diploma DMM,IELTS 6.0 (min 5.5 each component),"UK: £9,250/year | International: £16,250/year",29-Jan-2026,https://courses.uwe.ac.uk/F410
University of the West of England (UWE Bristol),Bristol,"College of Health, Science and Society",BSc (Hons),Environmental Science,3 Years,112 UCAS points: A-levels BBC or BTEC National Extended Diploma DMM,IELTS 6.0 (min 5.5 each component),"UK: £9,250/year | International: £16,250/year",29-Jan-2026,https://courses.uwe.ac.uk/F750
University of the West of England (UWE Bristol),Bristol,"College of Health, Science and Society",MSc,Biomedical Science,1 Years,An honours degree of 2:2 or above in a relevant subject,IELTS 6.5 (min 5.5 each component),"UK: £11,500/year | International: £17,500/year",03-Aug-2026,https://courses.uwe.ac.uk/C90112
University of the West of England (UWE Bristol),Bristol,"College of Health, Science and Society",MSc,Forensic Science,1 Years,An honours degree of 2:2 or above in a relevant subject,IELTS 6.5 (min 5.5 each component),"UK: £11,500/year | International: £17,500/year",03-Aug-2026,https://courses.uwe.ac.uk/F41112
University of the West of England (UWE Bristol),Bristol,"College of Health, Science and Society",BSc (Hons),Psychology,3 Years,112 UCAS points: A-levels BBC or BTEC National Extended Diploma DMM,IELTS 6.0 (min 5.5 each component),"UK: £9,250/year | International: £16,250/year",29-Jan-2026,https://courses.uwe.ac.uk/C800
University of the West of England (UWE Bristol),Bristol,"College of Health, Science and Society",BSc (Hons),Criminology,3 Years,112 UCAS points: A-levels BBC or BTEC National Extended Diploma DMM,IELTS 6.0 (min 5.5 each component),"UK: £9,250/year | International: £16,250/year",29-Jan-2026,https://courses.uwe.ac.uk/M900
University of the West of England (UWE Bristol),Bristol,"College of Health, Science and Society",BSc (Hons),Sociology,3 Years,112 UCAS points: A-levels BBC or BTEC National Extended Diploma DMM,IELTS 6.0 (min 5.5 each component),"UK: £9,250/year | International: £16,250/year",29-Jan-2026,https://courses.uwe.ac.uk/L300
University of the West of England (UWE Bristol),Bristol,"College of Health, Science and Society",BSc (Hons),Psychology with Criminology,3 Years,112 UCAS points: A-levels BBC or BTEC National Extended Diploma DMM,IELTS 6.0 (min 5.5 each component),"UK: £9,250/year | International: £16,250/year",29-Jan-2026,https://courses.uwe.ac.uk/C8M9
University of the West of England (UWE Bristol),Bristol,"College of Health, Science and Society",MSc,Health Psychology,1 Years,An honours degree of 2:2 or above in a relevant subject,IELTS 6.5 (min 5.5 each component),"UK: £11,500/year | International: £17,500/year",03-Aug-2026,https://courses.uwe.ac.uk/C80112
University of the West of England (UWE Bristol),Bristol,"College of Health, Science and Society",BA (Hons),Early Childhood,3 Years,112 UCAS points: A-levels BBC or BTEC National Extended Diploma DMM,IELTS 6.0 (min 5.5 each component),"UK: £9,250/year | International: £16,250/year",29-Jan-2026,https://courses.uwe.ac.uk/X312
University of the West of England (UWE Bristol),Bristol,"College of Health, Science and Society",BA (Hons),Education,3 Years,112 UCAS points: A-levels BBC or BTEC National Extended Diploma DMM,IELTS 6.0 (min 5.5 each component),"UK: £9,250/year | International: £16,250/year",29-Jan-2026,https://courses.uwe.ac.uk/X300
University of the West of England (UWE Bristol),Bristol,"College of Health, Science and Society",BSc (Hons),Social Work,3 Years,120 UCAS points; GCSE English/Maths C/4; DBS check,IELTS 6.0 (min 5.5 each component),"UK: £9,250/year | International: £16,250/year",29-Jan-2026,https://courses.uwe.ac.uk/L500
University of the West of England (UWE Bristol),Bristol,"College of Health, Science and Society",MA,Education,1 Years,An honours degree of 2:2 or above in a relevant subject,IELTS 6.5 (min 5.5 each component),"UK: £11,500/year | International: £17,500/year",03-Aug-2026,https://courses.uwe.ac.uk/X30112
University of the West of England (UWE Bristol),Bristol,"College of Arts, Technology and Environment",PhD,Computer Science,3 Years,Master’s degree or First Class Honours; research proposal required,IELTS 6.5 (min 5.5 each component),"UK: £4,712/year | International: £16,500/year",30-Jun-2026,https://courses.uwe.ac.uk/research
University of the West of England (UWE Bristol),Bristol,"College of Arts, Technology and Environment",PhD,Engineering,3 Years,Master’s degree or First Class Honours; research proposal required,IELTS 6.5 (min 5.5 each component),"UK: £4,712/year | International: £16,500/year",30-Jun-2026,https://courses.uwe.ac.uk/research
University of the West of England (UWE Bristol),Bristol,College of Business and Law,PhD,Business and Management,3 Years,Master’s degree or First Class Honours; research proposal required,IELTS 6.5 (min 5.5 each component),"UK: £4,712/year | International: £16,500/year",30-Jun-2026,https://courses.uwe.ac.uk/research
University of the West of England (UWE Bristol),Bristol,"College of Health, Science and Society",PhD,Health Sciences,3 Years,Master’s degree or First Class Honours; research proposal required,IELTS 6.5 (min 5.5 each component),"UK: £4,712/year | International: £16,500/year",30-Jun-2026,https://courses.uwe.ac.uk/research
