university_name,city,department,degree,program,duration,eligibility_criteria,test_required,fee_structure,admission_deadline,program_url
University of Birmingham,Birmingham,"School of Geography, Earth and Environmental Sciences",BSc,Environmental Science,3 Years,ABB at A-Level including one science subject. Geography accepted.,IELTS 6.0 overall (min 5.5 per component),"UK: £9,250/year | International: £23,220/year",29-Jan-2026,https://www.birmingham.ac.uk/study/undergraduate/subjects/global-environmental-change-and-sustainability-courses
University of Birmingham,Birmingham,School of English,BA,Film and Creative Writing,3 Years,ABB at A-Level. English Literature or Media Studies preferred.,IELTS 6.5 overall (min 6.0 per component),"UK: £9,250/year | International: £20,670/year",29-Jan-2026,https://www.birmingham.ac.uk/study/undergraduate/subjects/film-creative-writing-courses
University of Birmingham,Birmingham,"School of Geography, Earth and Environmental Sciences",BA,Geography,3 Years,ABB at A-Level including Geography.,IELTS 6.0 overall (min 5.5 per component),"UK: £9,250/year | International: £20,670/year",29-Jan-2026,https://www.birmingham.ac.uk/study/undergraduate/subjects/geography-urban-planning-and-environmental-sciences-courses
University of Birmingham,Birmingham,"School of Geography, Earth and Environmental Sciences",BSc,Geology,3 Years,ABB at A-Level including Geography or a science subject.,IELTS 6.0 overall (min 5.5 per component),"UK: £9,250/year | International: £23,220/year",29-Jan-2026,https://www.birmingham.ac.uk/study/undergraduate/subjects/geology-and-earth-sciences-courses
University of Birmingham,Birmingham,"School of Sport, Exercise and Rehabilitation Sciences",BSc,Golf Management,3 Years,CCC at A-Level. PGA-accredited programme. Golf playing ability assessed.,IELTS 6.0 overall (min 5.5 per component),"UK: £9,250/year | International: £23,220/year",29-Jan-2026,https://www.birmingham.ac.uk/study/undergraduate/subjects/golf-management-courses
University of Birmingham,Birmingham,School of History and Cultures,BA,History,3 Years,ABB at A-Level including History.,IELTS 6.0 overall (min 5.5 per component),"UK: £9,250/year | International: £20,670/year",29-Jan-2026,https://www.birmingham.ac.uk/study/undergraduate/subjects/history-courses
University of Birmingham,Birmingham,"School of Languages, Cultures, Art History and Music",BA,History of Art,3 Years,ABB at A-Level. No specific subject requirements.,IELTS 6.0 overall (min 5.5 per component),"UK: £9,250/year | International: £20,670/year",29-Jan-2026,https://www.birmingham.ac.uk/study/undergraduate/subjects/history-of-art-courses
University of Birmingham,Birmingham,School of Biosciences,BSc,Human Sciences,3 Years,ABB at A-Level including Biology.,IELTS 6.0 overall (min 5.5 per component),"UK: £9,250/year | International: £23,220/year",29-Jan-2026,https://www.birmingham.ac.uk/study/undergraduate/subjects/human-sciences-courses
University of Birmingham,Birmingham,Birmingham Law School,LLB,Law,3 Years,AAB at A-Level. No specific subject requirements. LNAT required.,LNAT; IELTS 6.5 overall (min 6.0 per component),"UK: £9,250/year | International: £21,120/year",29-Jan-2026,https://www.birmingham.ac.uk/study/undergraduate/subjects/law-courses
University of Birmingham,Birmingham,College of Arts and Law,BA,Liberal Arts,3 Years,"ABB at A-Level. Flexible entry across arts, humanities and social sciences.",IELTS 6.0 overall (min 5.5 per component),"UK: £9,250/year | International: £20,670/year",29-Jan-2026,https://www.birmingham.ac.uk/study/undergraduate/subjects/liberal-arts-and-natural-sciences-courses
University of Birmingham,Birmingham,Birmingham Business School,BSc,Marketing,3 Years,ABB at A-Level. No specific subject requirements.,IELTS 6.0 overall (min 5.5 per component),"UK: £9,250/year | International: £23,220/year",29-Jan-2026,https://www.birmingham.ac.uk/study/undergraduate/subjects/marketing-undergraduate
University of Birmingham,Birmingham,School of Metallurgy and Materials,BEng,Materials Science and Engineering,3 Years,ABB at A-Level including Chemistry or Physics and Mathematics.,IELTS 6.0 overall (min 5.5 per component),"UK: £9,250/year | International: £26,460/year",29-Jan-2026,https://www.birmingham.ac.uk/study/undergraduate/subjects/materials-science-and-engineering-courses
University of Birmingham,Birmingham,School of Mathematics,BSc,Mathematics,3 Years,A*AA at A-Level including Mathematics. Further Mathematics strongly preferred.,IELTS 6.0 overall (min 5.5 per component),"UK: £9,250/year | International: £23,220/year",29-Jan-2026,https://www.birmingham.ac.uk/study/undergraduate/subjects/mathematics-courses
University of Birmingham,Birmingham,School of Engineering,BEng,Mechanical Engineering,3 Years,AAB at A-Level including Mathematics and Physics.,IELTS 6.0 overall (min 5.5 per component),"UK: £9,250/year | International: £26,460/year",29-Jan-2026,https://www.birmingham.ac.uk/study/undergraduate/subjects/mechanical-engineering-courses
University of Birmingham,Birmingham,College of Medical and Dental Sciences,MBChB,Medicine,5 Years,AAA at A-Level including Chemistry and Biology or Physics or Maths. UCAT required. Relevant work experience expected.,UCAT; IELTS 7.0 overall (no band below 7.0),"UK: £9,250/year | International: £44,400/year",15-Oct-2025,https://www.birmingham.ac.uk/study/undergraduate/subjects/medicine-courses
University of Birmingham,Birmingham,"School of Languages, Cultures, Art History and Music",BA,Modern Languages,4 Years,ABB at A-Level including the relevant language. Year abroad included.,IELTS 6.0 overall (min 5.5 per component),"UK: £9,250/year | International: £20,670/year",29-Jan-2026,https://www.birmingham.ac.uk/study/undergraduate/subjects/modern-languages-courses
University of Birmingham,Birmingham,"School of Languages, Cultures, Art History and Music",BA,Music,3 Years,ABB at A-Level. Audition and interview required.,IELTS 6.0 overall (min 5.5 per component),"UK: £9,250/year | International: £20,670/year",29-Jan-2026,https://www.birmingham.ac.uk/study/undergraduate/subjects/music-courses
University of Birmingham,Birmingham,Department of Philosophy,BA,Philosophy,3 Years,ABB at A-Level. No specific subject requirements.,IELTS 6.0 overall (min 5.5 per component),"UK: £9,250/year | International: £20,670/year",29-Jan-2026,https://www.birmingham.ac.uk/study/undergraduate/subjects/philosophy-courses
University of Birmingham,Birmingham,School of Physics and Astronomy,BSc,Physics,3 Years,AAB at A-Level including Mathematics and Physics.,IELTS 6.0 overall (min 5.5 per component),"UK: £9,250/year | International: £23,220/year",29-Jan-2026,https://www.birmingham.ac.uk/study/undergraduate/subjects/physics-and-astronomy-courses
University of Birmingham,Birmingham,"School of Sport, Exercise and Rehabilitation Sciences",BSc,Physiotherapy,4 Years,ABB at A-Level including Biology. GCSE Maths and English at grade C/4.,IELTS 6.5 overall (min 6.0 per component),"UK: £9,250/year | International: £23,580/year",29-Jan-2026,https://www.birmingham.ac.uk/study/undergraduate/subjects/physiotherapy-courses
University of Birmingham,Birmingham,Department of Political Science and International Studies,BA,Politics and International Relations,3 Years,ABB at A-Level. No specific subject requirements.,IELTS 6.0 overall (min 5.5 per component),"UK: £9,250/year | International: £20,670/year",29-Jan-2026,https://www.birmingham.ac.uk/study/undergraduate/subjects/politics-international-relations-and-development-courses
University of Birmingham,Birmingham,School of Psychology,BSc,Psychology,3 Years,ABB at A-Level. Psychology not required at A-Level.,IELTS 6.0 overall (min 5.5 per component),"UK: £9,250/year | International: £23,220/year",29-Jan-2026,https://www.birmingham.ac.uk/study/undergraduate/subjects/psychology-and-neuroscience-courses
University of Birmingham,Birmingham,Department of Social Work and Social Care,BA,Social Work,3 Years,BBC at A-Level. DBS enhanced check and health assessment required.,IELTS 6.5 overall (min 6.0 per component),"UK: £9,250/year | International: £20,670/year",29-Jan-2026,https://www.birmingham.ac.uk/study/undergraduate/subjects/social-work-courses
University of Birmingham,Birmingham,Department of Sociology,BA,Sociology,3 Years,ABB at A-Level. No specific subject requirements.,IELTS 6.0 overall (min 5.5 per component),"UK: £9,250/year | International: £20,670/year",29-Jan-2026,https://www.birmingham.ac.uk/study/undergraduate/subjects/sociology-courses
University of Birmingham,Birmingham,"School of Sport, Exercise and Rehabilitation Sciences",BSc,Sport Science,3 Years,ABB at A-Level including a science subject.,IELTS 6.0 overall (min 5.5 per component),"UK: £9,250/year | International: £23,220/year",29-Jan-2026,https://www.birmingham.ac.uk/study/undergraduate/subjects/sport-sciences-courses
University of Birmingham,Birmingham,Department of Theology and Religion,BA,Theology and Religion,3 Years,ABB at A-Level. No specific subject requirements.,IELTS 6.0 overall (min 5.5 per component),"UK: £9,250/year | International: £20,670/year",29-Jan-2026,https://www.birmingham.ac.uk/study/undergraduate/subjects/theology-and-religion-courses
University of Birmingham,Birmingham,Birmingham Business School,MBA,Business Administration,1 Year,2:1 honours degree or equivalent plus minimum 3 years relevant professional work experience.,GMAT 600+ recommended; IELTS 6.5 overall (min 6.0 per component),"UK: £35,000/year | International: £35,000/year",27-Jun-2025,https://www.birmingham.ac.uk/study/postgraduate/taught/courses/mba
University of Birmingham,Birmingham,Birmingham Business School,MSc,Accounting and Finance,1 Year,"2:1 honours degree in Accounting, Finance or related discipline.",IELTS 6.5 overall (min 6.0 per component),"UK: £11,200/year | International: £24,840/year",27-Jun-2025,https://www.birmingham.ac.uk/study/postgraduate/taught/courses/accounting-and-finance-msc
University of Birmingham,Birmingham,Birmingham Business School,MSc,Finance,1 Year,"2:1 honours degree in Finance, Economics, Mathematics or related field.",IELTS 6.5 overall (min 6.0 per component),"UK: £11,200/year | International: £24,840/year",27-Jun-2025,https://www.birmingham.ac.uk/study/postgraduate/taught/courses/finance-msc
University of Birmingham,Birmingham,Birmingham Business School,MSc,International Business,1 Year,2:1 honours degree in any discipline.,IELTS 6.5 overall (min 6.0 per component),"UK: £11,200/year | International: £24,840/year",27-Jun-2025,https://www.birmingham.ac.uk/study/postgraduate/taught/courses/international-business-msc
University of Birmingham,Birmingham,Birmingham Business School,MSc,Human Resource Management,1 Year,2:1 honours degree in any discipline.,IELTS 6.5 overall (min 6.0 per component),"UK: £11,200/year | International: £24,840/year",27-Jun-2025,https://www.birmingham.ac.uk/study/postgraduate/taught/courses/human-resource-management-msc
University of Birmingham,Birmingham,Birmingham Business School,MSc,Management,1 Year,2:1 honours degree in any discipline.,IELTS 6.5 overall (min 6.0 per component),"UK: £11,200/year | International: £24,840/year",27-Jun-2025,https://www.birmingham.ac.uk/study/postgraduate/taught/courses/management-msc
University of Birmingham,Birmingham,Birmingham Business School,MSc,Marketing,1 Year,2:1 honours degree in any discipline.,IELTS 6.5 overall (min 6.0 per component),"UK: £11,200/year | International: £24,840/year",27-Jun-2025,https://www.birmingham.ac.uk/study/postgraduate/taught/courses/marketing-msc
University of Birmingham,Birmingham,Birmingham Law School,LLM,Law,1 Year,2:1 honours degree in Law or equivalent professional legal qualification.,IELTS 7.0 overall (min 6.5 per component),"UK: £12,240/year | International: £22,320/year",27-Jun-2025,https://www.birmingham.ac.uk/study/postgraduate/taught/courses/law-llm
University of Birmingham,Birmingham,Birmingham Law School,LLM,International Commercial Law,1 Year,2:1 honours degree in Law or equivalent.,IELTS 7.0 overall (min 6.5 per component),"UK: £12,240/year | International: £22,320/year",27-Jun-2025,https://www.birmingham.ac.uk/study/postgraduate/taught/courses/international-commercial-law-llm
University of Birmingham,Birmingham,School of Computer Science,MSc,Advanced Computer Science,1 Year,2:1 honours degree in Computer Science or closely related discipline.,IELTS 6.5 overall (min 6.0 per component),"UK: £11,700/year | International: £26,460/year",27-Jun-2025,https://www.birmingham.ac.uk/study/postgraduate/taught/courses/advanced-computer-science-msc
University of Birmingham,Birmingham,School of Computer Science,MSc,Data Science,1 Year,"2:1 honours degree in Computer Science, Mathematics, Statistics or related.",IELTS 6.5 overall (min 6.0 per component),"UK: £11,700/year | International: £26,460/year",27-Jun-2025,https://www.birmingham.ac.uk/study/postgraduate/taught/courses/data-science-msc
University of Birmingham,Birmingham,School of Computer Science,MSc,Artificial Intelligence,1 Year,2:1 honours degree in Computer Science or related with strong programming background.,IELTS 6.5 overall (min 6.0 per component),"UK: £11,700/year | International: £26,460/year",27-Jun-2025,https://www.birmingham.ac.uk/study/postgraduate/taught/courses/artificial-intelligence-msc
University of Birmingham,Birmingham,School of Computer Science,MSc,Cyber Security,1 Year,2:1 honours degree in Computer Science or related discipline.,IELTS 6.5 overall (min 6.0 per component),"UK: £11,700/year | International: £26,460/year",27-Jun-2025,https://www.birmingham.ac.uk/study/postgraduate/taught/courses/cyber-security-msc
University of Birmingham,Birmingham,School of Chemical Engineering,MSc,Chemical Engineering,1 Year,2:1 honours degree in Chemical Engineering or closely related field.,IELTS 6.5 overall (min 6.0 per component),"UK: £11,200/year | International: £26,460/year",27-Jun-2025,https://www.birmingham.ac.uk/study/postgraduate/taught/courses/chemical-engineering-msc
University of Birmingham,Birmingham,School of Engineering,MSc,Civil Engineering,1 Year,2:1 honours degree in Civil Engineering or related discipline.,IELTS 6.5 overall (min 6.0 per component),"UK: £11,200/year | International: £26,460/year",27-Jun-2025,https://www.birmingham.ac.uk/study/postgraduate/taught/courses/civil-engineering-msc
University of Birmingham,Birmingham,School of Engineering,MSc,Mechanical Engineering,1 Year,2:1 honours degree in Mechanical Engineering or related field.,IELTS 6.5 overall (min 6.0 per component),"UK: £11,200/year | International: £26,460/year",27-Jun-2025,https://www.birmingham.ac.uk/study/postgraduate/taught/courses/mechanical-engineering-msc
University of Birmingham,Birmingham,School of Engineering,MSc,Structural Engineering,1 Year,2:1 honours degree in Civil or Structural Engineering.,IELTS 6.5 overall (min 6.0 per component),"UK: £11,200/year | International: £26,460/year",27-Jun-2025,https://www.birmingham.ac.uk/study/postgraduate/taught/courses/structural-engineering-msc
University of Birmingham,Birmingham,School of Chemistry,MSc,Chemistry,1 Year,2:1 honours degree in Chemistry or related discipline.,IELTS 6.5 overall (min 6.0 per component),"UK: £11,200/year | International: £24,840/year",27-Jun-2025,https://www.birmingham.ac.uk/study/postgraduate/taught/courses/chemistry-msc
University of Birmingham,Birmingham,School of Physics and Astronomy,MSc,Physics,1 Year,2:1 honours degree in Physics or related discipline.,IELTS 6.5 overall (min 6.0 per component),"UK: £11,200/year | International: £24,840/year",27-Jun-2025,https://www.birmingham.ac.uk/study/postgraduate/taught/courses/physics-msc
University of Birmingham,Birmingham,School of Mathematics,MSc,Mathematics,1 Year,2:1 honours degree in Mathematics or closely related field.,IELTS 6.5 overall (min 6.0 per component),"UK: £11,200/year | International: £24,840/year",27-Jun-2025,https://www.birmingham.ac.uk/study/postgraduate/taught/courses/mathematics-msc
University of Birmingham,Birmingham,Institute of Applied Health Research,MSc,Public Health,1 Year,2:1 honours degree in a health-related subject or equivalent professional experience in healthcare.,IELTS 6.5 overall (min 6.0 per component),"UK: £10,860/year | International: £23,760/year",27-Jun-2025,https://www.birmingham.ac.uk/study/postgraduate/taught/courses/public-health-msc
University of Birmingham,Birmingham,Institute of Applied Health Research,MSc,Global Health,1 Year,"2:1 honours degree in health, biomedical or social science.",IELTS 6.5 overall (min 6.0 per component),"UK: £10,860/year | International: £23,760/year",27-Jun-2025,https://www.birmingham.ac.uk/study/postgraduate/taught/courses/global-health-msc
University of Birmingham,Birmingham,Institute of Cancer and Genomic Sciences,MSc,Clinical Oncology,1 Year,Medical degree or equivalent healthcare qualification with clinical experience.,IELTS 6.5 overall (min 6.0 per component),"UK: £10,860/year | International: £23,760/year",27-Jun-2025,https://www.birmingham.ac.uk/study/postgraduate/taught/courses/clinical-oncology-msc
University of Birmingham,Birmingham,Department of Social Policy,MA,Social Policy,1 Year,2:1 honours degree in Social Sciences or related discipline.,IELTS 6.5 overall (min 6.0 per component),"UK: £10,200/year | International: £20,880/year",27-Jun-2025,https://www.birmingham.ac.uk/study/postgraduate/taught/courses/social-policy-ma
University of Birmingham,Birmingham,Department of Political Science and International Studies,MA,International Relations,1 Year,"2:1 honours degree in Politics, International Relations or related field.",IELTS 6.5 overall (min 6.0 per component),"UK: £10,200/year | International: £20,880/year",27-Jun-2025,https://www.birmingham.ac.uk/study/postgraduate/taught/courses/international-relations-ma
University of Birmingham,Birmingham,Department of Political Science and International Studies,MA,Politics,1 Year,2:1 honours degree in Politics or related discipline.,IELTS 6.5 overall (min 6.0 per component),"UK: £10,200/year | International: £20,880/year",27-Jun-2025,https://www.birmingham.ac.uk/study/postgraduate/taught/courses/politics-ma
University of Birmingham,Birmingham,Department of Economics,MSc,Economics,1 Year,2:1 honours degree in Economics or Mathematics/Statistics with Economics.,IELTS 6.5 overall (min 6.0 per component),"UK: £11,200/year | International: £24,840/year",27-Jun-2025,https://www.birmingham.ac.uk/study/postgraduate/taught/courses/economics-msc
University of Birmingham,Birmingham,School of English,MA,English Literature,1 Year,2:1 honours degree in English Literature or closely related discipline.,IELTS 7.0 overall (min 6.5 per component),"UK: £10,200/year | International: £20,880/year",27-Jun-2025,https://www.birmingham.ac.uk/study/postgraduate/taught/courses/english-literature-ma
University of Birmingham,Birmingham,School of History and Cultures,MA,History,1 Year,2:1 honours degree in History or related discipline.,IELTS 6.5 overall (min 6.0 per component),"UK: £10,200/year | International: £20,880/year",27-Jun-2025,https://www.birmingham.ac.uk/study/postgraduate/taught/courses/history-ma
University of Birmingham,Birmingham,Department of Philosophy,MA,Philosophy,1 Year,2:1 honours degree in Philosophy or related discipline.,IELTS 6.5 overall (min 6.0 per component),"UK: £10,200/year | International: £20,880/year",27-Jun-2025,https://www.birmingham.ac.uk/study/postgraduate/taught/courses/philosophy-ma
University of Birmingham,Birmingham,Department of Theology and Religion,MA,Theology and Religion,1 Year,"2:1 honours degree in Theology, Religion or related discipline.",IELTS 6.5 overall (min 6.0 per component),"UK: £10,200/year | International: £20,880/year",27-Jun-2025,https://www.birmingham.ac.uk/study/postgraduate/taught/courses/theology-and-religion-ma
University of Birmingham,Birmingham,School of Education,MA,Education,1 Year,2:1 honours degree plus relevant professional or teaching experience.,IELTS 6.5 overall (min 6.0 per component),"UK: £10,200/year | International: £20,880/year",27-Jun-2025,https://www.birmingham.ac.uk/study/postgraduate/taught/courses/education-ma
University of Birmingham,Birmingham,School of Education,MSc,Educational Leadership,1 Year,Qualified teacher status or equivalent professional experience in education leadership.,IELTS 6.5 overall (min 6.0 per component),"UK: £10,200/year | International: £20,880/year",27-Jun-2025,https://www.birmingham.ac.uk/study/postgraduate/taught/courses/educational-leadership-msc
University of Birmingham,Birmingham,School of Computer Science,PhD,Computer Science,3-4 Years,2:1 honours degree (First preferred) plus a relevant Master's degree. Research proposal required. Two academic references needed.,IELTS 6.5 overall (min 6.0 per component) for international students,"UK: £5,006/year | International: £23,310/year",Rolling admissions - apply at least 3 months before intended start,https://www.birmingham.ac.uk/study/postgraduate/research/subjects/phd-computer-science
University of Birmingham,Birmingham,School of Computer Science,PhD,Data Science and AI,3-4 Years,2:1 honours degree (First preferred) plus a relevant Master's degree. Research proposal required. Two academic references needed.,IELTS 6.5 overall (min 6.0 per component) for international students,"UK: £5,006/year | International: £23,310/year",Rolling admissions - apply at least 3 months before intended start,https://www.birmingham.ac.uk/study/postgraduate/research/subjects/phd-data-science-and-ai
University of Birmingham,Birmingham,School of Engineering,PhD,Electronic Engineering,3-4 Years,2:1 honours degree (First preferred) plus a relevant Master's degree. Research proposal required. Two academic references needed.,IELTS 6.5 overall (min 6.0 per component) for international students,"UK: £5,006/year | International: £23,310/year",Rolling admissions - apply at least 3 months before intended start,https://www.birmingham.ac.uk/study/postgraduate/research/subjects/phd-electronic-engineering
University of Birmingham,Birmingham,School of Engineering,PhD,Civil Engineering,3-4 Years,2:1 honours degree (First preferred) plus a relevant Master's degree. Research proposal required. Two academic references needed.,IELTS 6.5 overall (min 6.0 per component) for international students,"UK: £5,006/year | International: £23,310/year",Rolling admissions - apply at least 3 months before intended start,https://www.birmingham.ac.uk/study/postgraduate/research/subjects/phd-civil-engineering
University of Birmingham,Birmingham,School of Engineering,PhD,Mechanical Engineering,3-4 Years,2:1 honours degree (First preferred) plus a relevant Master's degree. Research proposal required. Two academic references needed.,IELTS 6.5 overall (min 6.0 per component) for international students,"UK: £5,006/year | International: £23,310/year",Rolling admissions - apply at least 3 months before intended start,https://www.birmingham.ac.uk/study/postgraduate/research/subjects/phd-mechanical-engineering
University of Birmingham,Birmingham,School of Chemical Engineering,PhD,Chemical Engineering,3-4 Years,2:1 honours degree (First preferred) plus a relevant Master's degree. Research proposal required. Two academic references needed.,IELTS 6.5 overall (min 6.0 per component) for international students,"UK: £5,006/year | International: £23,310/year",Rolling admissions - apply at least 3 months before intended start,https://www.birmingham.ac.uk/study/postgraduate/research/subjects/phd-chemical-engineering
University of Birmingham,Birmingham,School of Metallurgy and Materials,PhD,Materials Science,3-4 Years,2:1 honours degree (First preferred) plus a relevant Master's degree. Research proposal required. Two academic references needed.,IELTS 6.5 overall (min 6.0 per component) for international students,"UK: £5,006/year | International: £23,310/year",Rolling admissions - apply at least 3 months before intended start,https://www.birmingham.ac.uk/study/postgraduate/research/subjects/phd-materials-science
University of Birmingham,Birmingham,School of Chemistry,PhD,Chemistry,3-4 Years,2:1 honours degree (First preferred) plus a relevant Master's degree. Research proposal required. Two academic references needed.,IELTS 6.5 overall (min 6.0 per component) for international students,"UK: £5,006/year | International: £23,310/year",Rolling admissions - apply at least 3 months before intended start,https://www.birmingham.ac.uk/study/postgraduate/research/subjects/phd-chemistry
University of Birmingham,Birmingham,School of Physics and Astronomy,PhD,Physics,3-4 Years,2:1 honours degree (First preferred) plus a relevant Master's degree. Research proposal required. Two academic references needed.,IELTS 6.5 overall (min 6.0 per component) for international students,"UK: £5,006/year | International: £23,310/year",Rolling admissions - apply at least 3 months before intended start,https://www.birmingham.ac.uk/study/postgraduate/research/subjects/phd-physics
University of Birmingham,Birmingham,School of Mathematics,PhD,Mathematics,3-4 Years,2:1 honours degree (First preferred) plus a relevant Master's degree. Research proposal required. Two academic references needed.,IELTS 6.5 overall (min 6.0 per component) for international students,"UK: £5,006/year | International: £23,310/year",Rolling admissions - apply at least 3 months before intended start,https://www.birmingham.ac.uk/study/postgraduate/research/subjects/phd-mathematics
University of Birmingham,Birmingham,School of Biosciences,PhD,Biosciences,3-4 Years,2:1 honours degree (First preferred) plus a relevant Master's degree. Research proposal required. Two academic references needed.,IELTS 6.5 overall (min 6.0 per component) for international students,"UK: £5,006/year | International: £23,310/year",Rolling admissions - apply at least 3 months before intended start,https://www.birmingham.ac.uk/study/postgraduate/research/subjects/phd-biosciences
